# x_index original_841_index pi_of_i y_family squared_error euclidean_error order_rank
426 426 182 M1 0.00016030541433848902 0.012661177446765724 80
427 427 607 M2 0.00030035046712261154 0.017330622237029216 165
428 428 94 M1 0.00021604513074446676 0.01469847375561377 111
429 429 642 M2 0.0011288561683186098 0.0335984548501655 461
430 430 602 M2 0.00015566784783081127 0.012476692183059229 76
431 431 806 M2 0.0055660390919544962 0.074605891804565255 583
432 432 800 M2 0.0002505636561481409 0.015829202637787566 127
433 433 298 M1 0.00042881991113211744 0.020707967334630345 257
434 434 803 M2 0.00058181705320354334 0.024120884171264189 370
435 435 187 M1 0.00041604130968864389 0.020397090716291966 247
436 436 777 M2 0.00046571641043261289 0.021580463628768795 290
437 437 91 M1 0.0067043709969685939 0.081880223478985409 592
438 438 810 M2 0.00015665694814813376 0.012516267340870191 77
439 439 179 M1 0.0078833595432335792 0.088788284943643214 608
440 440 782 M2 0.00016391307159542348 0.01280285404101068 84
441 441 533 M2 0.0005884059593586939 0.024257080602551783 374
442 442 747 M2 0.00031085594201133018 0.017631107225904167 176
443 443 260 M1 7.7832888567710293e-05 0.0088222949717015418 44
444 444 820 E3 0.21202408648226923 0.46046073283426592 818
445 445 165 M1 0.00066069482242154729 0.025703984563128481 399
446 446 677 M2 0.0030638142951755569 0.055351732539962624 546
447 447 288 M1 0.0028592705546518393 0.053472147466244888 536
448 448 95 M1 0.00081731706566691442 0.02858875767967042 432
449 449 90 M1 0.00058787905536921152 0.024246217341457852 373
450 450 281 M1 0.0015713310423275475 0.039640018192825636 485
451 451 538 M2 0.00043042122150218303 0.020746595419542529 259
452 452 162 M1 0.0031901893371628115 0.05648176110181774 550
453 453 618 M2 0.0046540626516386012 0.068220690788342225 575
454 454 439 M2 0.0026331432993582505 0.051314162756087627 523
455 455 586 M2 0.0021389999356368466 0.046249323623560663 511
456 456 171 M1 0.021798166478440441 0.14764202138429439 761
457 457 690 M2 0.026569372810641569 0.16300114358691342 784
458 458 754 M2 0.00036747056157898205 0.019169521683625339 214
459 459 121 M1 0.00040326738247019615 0.020081518430392561 238
460 460 139 M1 0.011500140301995599 0.10723870710706838 639
461 461 73 M1 0.00023199727712196433 0.015231456828615059 119
462 462 120 M1 0.0077376947454741805 0.087964167394878362 605
463 463 587 M2 0.010291219996609606 0.10144565045683135 630
464 464 229 M1 0.016239177138115783 0.12743303001230011 700
